,course,provider,link,course_length,time_commitment,start_date,current_enrollment,pace,price_£,subject
98,Introduction to Machine Learning and AI,Raspberry Pi Foundation,https://www.edx.org/learn/computer-programming/raspberry-pi-foundation-introduction-to-machine-learning-and-ai?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=3&results_level=second-level-results&term=&objectID=course-428a3e14-b649-4190-91d0-0ff2d8f1864a&campaign=Introduction+to+Machine+Learning+and+AI&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–4 hours per week,Starts Jul 24,13023,Self-paced,46,Education & Teacher Training
99,Product Management Fundamentals,"The University of Maryland, College Park University System of Maryland",https://www.edx.org/learn/product-management/the-university-of-maryland-college-park-product-management-fundamentals?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=4&results_level=second-level-results&term=&objectID=course-49a56967-0578-4b25-925e-4cce1a79d3ea&campaign=Product+Management+Fundamentals&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–3 hours per week,Starts Jul 24,68557,Self-paced,193,Business & Management
100,Introduction to SQL,IBM,https://www.edx.org/learn/sql/ibm-introduction-to-sql?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=5&results_level=second-level-results&term=&objectID=course-58977d3a-894b-45bb-9d5a-2dbbb5031163&campaign=Introduction+to+SQL&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–4 hours per week,Starts Jul 24,44316,Self-paced,77,Computer Science
101,Introduction to Project Management,University of Adelaide,https://www.edx.org/learn/project-management/university-of-adelaide-introduction-to-project-management?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=6&results_level=second-level-results&term=&objectID=course-327c8e4f-315a-417b-9857-046dfc90c243&campaign=Introduction+to+Project+Management&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–3 hours per week,Starts Jul 24,508529,Self-paced,193,Business & Management
102,"PredictionX: Omens, Oracles & Prophecies",Harvard University,https://www.edx.org/learn/social-science/harvard-university-predictionx-omens-oracles-prophecies?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=7&results_level=second-level-results&term=&objectID=course-2c9ed992-c007-4182-a9f4-7524b2029082&campaign=PredictionX%3A+Omens%2C+Oracles+%26+Prophecies&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,1 weeks,3–5 hours per week,Starts Jul 24,174069,Self-paced,0,Social Sciences
103,Problem Solving and Critical Thinking Skills,Fullbridge,https://www.edx.org/learn/business-administration/fullbridge-problem-solving-and-critical-thinking-skills-2?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=8&results_level=second-level-results&term=&objectID=course-85383f4a-353b-42f8-9f36-129915bedbef&campaign=Problem+Solving+and+Critical+Thinking+Skills&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,2–3 hours per week,Starts Jul 24,32381,Self-paced,0,Business & Management
104,The Psychology of Emotions: An Introduction to Embodied Cognition,University of Cambridge,https://www.edx.org/learn/behavioral-psychology/university-of-cambridge-the-psychology-of-emotions-an-introduction-to-embodied-cognition?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=9&results_level=second-level-results&term=&objectID=course-3356a2fd-44ff-488f-92ca-0c970cd01fb3&campaign=The+Psychology+of+Emotions%3A+An+Introduction+to+Embodied+Cognition&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–5 hours per week,Starts Jul 24,41083,Self-paced,231,Biology & Life Sciences
105,Python Programming: Basic Skills,Codio,https://www.edx.org/learn/python/codio-python-programming-basic-skills?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=10&results_level=second-level-results&term=&objectID=course-dcea46cf-96bc-446d-8e23-cb36db4276b4&campaign=Python+Programming%3A+Basic+Skills&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–3 hours per week,Starts Jul 24,10561,Self-paced,146,Computer Science
106,"Fundamentals of Neuroscience, Part 3: The Brain",Harvard University,https://www.edx.org/learn/neuroscience/harvard-university-fundamentals-of-neuroscience-part-3-the-brain?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=11&results_level=second-level-results&term=&objectID=course-70f0c8ed-1644-4c67-a5d9-7111368b4f5f&campaign=Fundamentals+of+Neuroscience%2C+Part+3%3A+The+Brain&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,3–5 hours per week,Starts Jul 24,127893,Self-paced,193,Biology & Life Sciences
107,Excel for Everyone: Core Foundations,University of British Columbia,https://www.edx.org/learn/excel/university-of-british-columbia-excel-for-everyone-core-foundations?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=12&results_level=second-level-results&term=&objectID=course-c8724b01-78c5-4152-809a-841106fdb138&campaign=Excel+for+Everyone%3A+Core+Foundations&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,4–6 hours per week,Starts Jul 24,183519,Self-paced,146,Data Analysis & Statistics
108,Principles of Biochemistry,Harvard University,https://www.edx.org/learn/biochemistry/harvard-university-principles-of-biochemistry?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=13&results_level=second-level-results&term=&objectID=course-896f6184-731a-4dae-9e53-ef7a83e5606d&campaign=Principles+of+Biochemistry&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,15 weeks,4–6 hours per week,Starts Jul 24,384987,Self-paced,231,Medicine
109,SOLIDWORKS CAD Fundamentals,Dassault Systèmes SOLIDWORKS,https://www.edx.org/learn/engineering/dassault-systemes-solidworks-solidworks-cad-fundamentals?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=14&results_level=second-level-results&term=&objectID=course-95e8f7af-8d8f-4786-a070-317e0e3d3658&campaign=SOLIDWORKS+CAD+Fundamentals&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–4 hours per week,Starts Jul 24,28355,Self-paced,77,Design
110,Introduction to the Internet of Things (IoT),Curtin University,https://www.edx.org/learn/iot-internet-of-things/curtin-university-introduction-to-the-internet-of-things-iot?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=15&results_level=second-level-results&term=&objectID=course-51821230-63f3-49bb-86af-0d3073a28648&campaign=Introduction+to+the+Internet+of+Things+%28IoT%29&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–3 hours per week,Starts Jul 24,119528,Self-paced,115,Computer Science
111,R Programming Basics for Data Science,IBM,https://www.edx.org/learn/r-programming/ibm-r-programming-basics-for-data-science?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=16&results_level=second-level-results&term=&objectID=course-b0016194-add5-43f1-ab61-249f4664e315&campaign=R+Programming+Basics+for+Data+Science&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,1–2 hours per week,Starts Jul 24,19018,Self-paced,77,Data Analysis & Statistics
112,Data Science: Probability,Harvard University,https://www.edx.org/learn/probability/harvard-university-data-science-probability?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=17&results_level=second-level-results&term=&objectID=course-54a056bd-bfd5-45a2-ba71-aad017e1d275&campaign=Data+Science%3A+Probability&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,1–2 hours per week,Starts Jul 24,204618,Self-paced,115,Data Analysis & Statistics
113,Data Science: Inference and Modeling,Harvard University,https://www.edx.org/learn/data-science/harvard-university-data-science-inference-and-modeling?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=18&results_level=second-level-results&term=&objectID=course-c654bfe1-69ba-4a2b-8be1-9acb2e846855&campaign=Data+Science%3A+Inference+and+Modeling&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,1–2 hours per week,Starts Jul 24,135326,Self-paced,115,Data Analysis & Statistics
114,Developing Front End Apps with React,IBM,https://www.edx.org/learn/react-native/ibm-developing-front-end-apps-with-react?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=19&results_level=second-level-results&term=&objectID=course-0af1e674-790b-4aa6-89dc-80adbd89d479&campaign=Developing+Front+End+Apps+with+React&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–3 hours per week,Starts Jul 24,17565,Self-paced,19,Computer Science
115,Food Fermentation: The Science of Cooking with Microbes,Harvard University,https://www.edx.org/learn/cooking/harvard-university-food-fermentation-the-science-of-cooking-with-microbes?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=20&results_level=second-level-results&term=&objectID=course-faa68eb2-102a-443c-8dd9-115902208684&campaign=Food+Fermentation%3A+The+Science+of+Cooking+with+Microbes&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,14 weeks,2–3 hours per week,Starts Jul 24,65146,Self-paced,193,Biology & Life Sciences
116,Introduction to Generative AI,IBM,https://www.edx.org/learn/computer-science/ibm-introduction-to-generative-ai?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=21&results_level=second-level-results&term=&objectID=course-2d5b1959-d856-4a35-8aa4-c6cb67b233a9&campaign=Introduction+to+Generative+AI&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,1–3 hours per week,Starts Jul 24,7967,Self-paced,38,Computer Science
117,PredictionX: Lost Without Longitude,Harvard University,https://www.edx.org/learn/astronomy/harvard-university-predictionx-lost-without-longitude?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=22&results_level=second-level-results&term=&objectID=course-2f0dfe94-aeb4-4f7a-8dd4-4e8691cd6c0d&campaign=PredictionX%3A+Lost+Without+Longitude&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,1 weeks,2–5 hours per week,Starts Jul 24,50025,Self-paced,0,History
118,Introduction to Cognitive Psychology and Neuropsychology,University of Cambridge,https://www.edx.org/learn/cognitive-science/university-of-cambridge-introduction-to-cognitive-psychology-and-neuropsychology?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=23&results_level=second-level-results&term=&objectID=course-fec44d1b-55db-461b-8731-35fcbf369dbe&campaign=Introduction+to+Cognitive+Psychology+and+Neuropsychology&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–5 hours per week,Starts Jul 24,14448,Self-paced,231,Biology & Life Sciences
119,Français élémentaire 1,Université de Montréal,https://www.edx.org/learn/language/universite-de-montreal-francais-elementaire-1?index=product&queryID=9e7c92adcaba35def589b2f38a059260&position=24&results_level=second-level-results&term=&objectID=course-40ee8009-f37d-4dd3-9467-6c4c35730749&campaign=Fran%C3%A7ais+%C3%A9l%C3%A9mentaire+1&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,4–5 hours per week,Starts Jul 24,17058,Self-paced,92,Language
120,Mental Health and Nutrition,University of Canterbury,https://www.edx.org/learn/nutrition/university-of-canterbury-mental-health-and-nutrition?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=1&results_level=second-level-results&term=&objectID=course-7b36cc3e-d414-4602-95b7-c96e32311456&campaign=Mental+Health+and+Nutrition&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,2–6 hours per week,Starts Jul 24,78957,Self-paced,146,Food & Nutrition
121,Analyzing Data with R,IBM,https://www.edx.org/learn/data-analysis/ibm-analyzing-data-with-r?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=2&results_level=second-level-results&term=&objectID=course-10bf847e-f36e-4c75-8097-9c2f6f86fc57&campaign=Analyzing+Data+with+R&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–3 hours per week,Starts Jul 24,10906,Self-paced,77,Data Analysis & Statistics
122,Data Science and Machine Learning Capstone Project,IBM,https://www.edx.org/learn/data-science/ibm-data-science-and-machine-learning-capstone-project?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=3&results_level=second-level-results&term=&objectID=course-168631cb-3bbf-4c81-98f1-e6816fbcd1bf&campaign=Data+Science+and+Machine+Learning+Capstone+Project&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,3–4 hours per week,Starts Jul 24,37005,Self-paced,115,Data Analysis & Statistics
123,C++ Programming: Basic Skills,Codio,https://www.edx.org/learn/c-programming/codio-c-programming-basic-skills?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=4&results_level=second-level-results&term=&objectID=course-59dd2022-3076-4677-ae8b-58b521077ca1&campaign=C%2B%2B+Programming%3A+Basic+Skills&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–3 hours per week,Starts Jul 24,20033,Self-paced,146,Computer Science
124,Leadership: Creating Public Value,Harvard University,https://www.edx.org/learn/leadership/harvard-university-leadership-creating-public-value?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=5&results_level=second-level-results&term=&objectID=course-0ecf7948-eba0-4787-a544-3d0e2197a151&campaign=Leadership%3A+Creating+Public+Value&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,2–3 hours per week,Starts Jul 24,51760,Self-paced,162,Social Sciences
125,Marketing digital en redes sociales,Universitat Politècnica de València,https://www.edx.org/learn/digital-marketing/universitat-politecnica-de-valencia-marketing-digital-en-redes-sociales?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=6&results_level=second-level-results&term=&objectID=course-c855f0b6-0d4d-493f-acd8-0e125ed9b656&campaign=Marketing+digital+en+redes+sociales&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,3–4 hours per week,Starts Jul 24,44700,Self-paced,35,Business & Management
126,Accounting and Finance,Indian Institute of Management Bangalore,https://www.edx.org/learn/financial-accounting/indian-institute-of-management-bangalore-accounting-and-finance?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=7&results_level=second-level-results&term=&objectID=course-a0cb0f4f-21d9-4a0a-8386-d1f8e648b526&campaign=Accounting+and+Finance&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,11 weeks,2–4 hours per week,Started Apr 30,169280,Instructor-paced,116,Business & Management
127,R Programming Fundamentals,Stanford University,https://www.edx.org/learn/r-programming/stanford-university-r-programming-fundamentals?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=8&results_level=second-level-results&term=&objectID=course-43e621e2-6302-4cbe-ae87-623837e611b9&campaign=R+Programming+Fundamentals&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–3 hours per week,Starts Jul 24,42778,Self-paced,77,Computer Science
128,Early Childhood Development: Global Strategies for Implementation,Harvard University,https://www.edx.org/learn/child-development/harvard-university-early-childhood-development-global-strategies-for-implementation?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=9&results_level=second-level-results&term=&objectID=course-526a4611-1de4-41a5-83b2-01644de9f68a&campaign=Early+Childhood+Development%3A+Global+Strategies+for+Implementation&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,1–3 hours per week,Starts Jul 24,72995,Self-paced,115,Education & Teacher Training
129,Pyramids of Giza: Ancient Egyptian Art and Archaeology,Harvard University,https://www.edx.org/learn/archaeology/harvard-university-pyramids-of-giza-ancient-egyptian-art-and-archaeology?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=10&results_level=second-level-results&term=&objectID=course-d32bba34-f516-4116-bf61-9c6b124c3e3c&campaign=Pyramids+of+Giza%3A+Ancient+Egyptian+Art+and+Archaeology&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,2–4 hours per week,Starts Jul 24,181168,Self-paced,169,Art & Culture
130,Graphic Design Essentials,LCI Education,https://www.edx.org/learn/graphic-design/lci-education-graphic-design-essentials?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=11&results_level=second-level-results&term=&objectID=course-a01716cf-27f7-4f6d-b6fb-88394a3523c1&campaign=Graphic+Design+Essentials&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,1–2 hours per week,Starts Jul 24,7348,Self-paced,77,Design
131,"Data Structures & Algorithms I: ArrayLists, LinkedLists, Stacks and Queues",The Georgia Institute of Technology,https://www.edx.org/learn/data-structures/the-georgia-institute-of-technology-data-structures-algorithms-i-arraylists-linkedlists-stacks-and-queues?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=12&results_level=second-level-results&term=&objectID=course-5fda4000-8baf-4c1a-b6e6-840189eda463&campaign=Data+Structures+%26+Algorithms+I%3A+ArrayLists%2C+LinkedLists%2C+Stacks+and+Queues&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,9–10 hours per week,Starts Jul 24,36841,Self-paced,146,Computer Science
132,DevOps Basics for Everyone,IBM,https://www.edx.org/learn/devops/ibm-devops-basics-for-everyone?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=13&results_level=second-level-results&term=&objectID=course-63ca4f1d-411a-451c-acd6-697e100dc144&campaign=DevOps+Basics+for+Everyone&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,3–4 hours per week,Starts Jul 24,15245,Self-paced,77,Computer Science
133,SQL for Data Science,IBM,https://www.edx.org/learn/data-science/ibm-sql-for-data-science?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=14&results_level=second-level-results&term=&objectID=course-2b907cc6-4020-4242-a369-38a48ae95f83&campaign=SQL+for+Data+Science&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–4 hours per week,Starts Jul 24,117948,Self-paced,77,Data Analysis & Statistics
134,Quantum Mechanics for Scientists and Engineers 1,Stanford University,https://www.edx.org/learn/quantum-physics-mechanics/stanford-university-quantum-mechanics-for-scientists-and-engineers-1?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=15&results_level=second-level-results&term=&objectID=course-84f89d1e-6533-4d22-a601-2a3e3a9fe3eb&campaign=Quantum+Mechanics+for+Scientists+and+Engineers+1&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,9 weeks,5–10 hours per week,Starts Jul 24,32951,Self-paced,123,Engineering
135,"Resume, Networking, and Interview Skills",Fullbridge,https://www.edx.org/learn/business-administration/fullbridge-resume-networking-and-interview-skills-2?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=16&results_level=second-level-results&term=&objectID=course-52cbad0b-c721-4e3d-babd-e63201fd6a57&campaign=Resume%2C+Networking%2C+and+Interview+Skills&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,2–3 hours per week,Starts Jul 24,72870,Self-paced,0,Business & Management
136,Pre-University Calculus,Delft University of Technology,https://www.edx.org/learn/calculus/delft-university-of-technology-pre-university-calculus?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=17&results_level=second-level-results&term=&objectID=course-41e295ce-a84b-4952-a9a7-fa613201d896&campaign=Pre-University+Calculus&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,6–8 hours per week,Starts Jul 24,144940,Self-paced,39,Math
137,Introduction to Personal Financial Planning,Indiana University,https://www.edx.org/learn/personal-finance/indiana-university-introduction-to-personal-financial-planning?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=18&results_level=second-level-results&term=&objectID=course-f4c7597d-6352-43e4-b1f8-c42a2bc546e1&campaign=Introduction+to+Personal+Financial+Planning&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–6 hours per week,Starts Jul 24,29041,Self-paced,154,Economics & Finance
138,"Nutrition, Exercise and Sports",Wageningen University & Research,https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-exercise-and-sports?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=19&results_level=second-level-results&term=&objectID=course-3c05fb77-83cf-4be6-a982-d0fc0cbd31ea&campaign=Nutrition%2C+Exercise+and+Sports&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,4–8 hours per week,Starts Jul 24,119614,Self-paced,162,Food & Nutrition
139,Full Stack Application Development Project,IBM,https://www.edx.org/learn/full-stack-development/ibm-full-stack-application-development-project?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=20&results_level=second-level-results&term=&objectID=course-a8c9c3d0-8879-4353-acad-d13adec1d9a6&campaign=Full+Stack+Application+Development+Project&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,2 weeks,6–8 hours per week,Starts Jul 24,28866,Self-paced,77,Computer Science
140,Embedded Systems Essentials with Arm: Getting Started,Arm Education,https://www.edx.org/learn/embedded-systems/arm-education-embedded-systems-essentials-with-arm-getting-started?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=21&results_level=second-level-results&term=&objectID=course-65433bff-efc4-4e62-8a91-af05dc37802a&campaign=Embedded+Systems+Essentials+with+Arm%3A+Getting+Started&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,3–6 hours per week,Starts Jul 24,31468,Self-paced,77,Computer Science
141,Beginners Guide to Cybersecurity,IBM,https://www.edx.org/learn/cybersecurity/ibm-beginners-guide-to-cybersecurity?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=22&results_level=second-level-results&term=&objectID=course-cc2b4496-bccb-4ddc-b6d9-a6ad7d05d28f&campaign=Beginners+Guide+to+Cybersecurity&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,3–5 hours per week,Starts Jul 24,16135,Self-paced,38,Computer Science
142,Steps in Japanese for Beginners1 Part1,Waseda University,https://www.edx.org/learn/japanese/waseda-university-steps-in-japanese-for-beginners1-part1?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=23&results_level=second-level-results&term=&objectID=course-840acc48-0d64-4a9d-a424-712406a034a6&campaign=Steps+in+Japanese+for+Beginners1+Part1&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,3–5 hours per week,Starts Jul 24,124427,Self-paced,46,Language
143,Compilers,Stanford University,https://www.edx.org/learn/computer-science/stanford-university-compilers?index=product&queryID=e648446cdfe7090fc1780d85e7a0ac32&position=24&results_level=second-level-results&term=&objectID=course-3a287fad-9544-46ea-bc6a-85863940a402&campaign=Compilers&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,5–10 hours per week,Starts Jul 24,42235,Self-paced,193,Computer Science
144,MATLAB Essentials,MathWorks,https://www.edx.org/learn/matlab/mathworks-matlab-essentials?index=product&queryID=b4102116df6402b461007a6796b907a7&position=1&results_level=second-level-results&term=&objectID=course-28ae36f9-40f5-4049-8fca-a93b5c486e81&campaign=MATLAB+Essentials&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–7 hours per week,Starts Jul 24,25605,Self-paced,146,Engineering
145,Analyzing Data with Python,IBM,https://www.edx.org/learn/python/ibm-analyzing-data-with-python?index=product&queryID=b4102116df6402b461007a6796b907a7&position=2&results_level=second-level-results&term=&objectID=course-29a1e3b8-3e84-4b14-b60d-0fa97512e420&campaign=Analyzing+Data+with+Python&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–4 hours per week,Starts Jul 24,156504,Self-paced,77,Data Analysis & Statistics
146,Introduction to Family Engagement in Education,Harvard University,https://www.edx.org/learn/teacher-training/harvard-university-introduction-to-family-engagement-in-education?index=product&queryID=b4102116df6402b461007a6796b907a7&position=3&results_level=second-level-results&term=&objectID=course-322eed0a-1534-4a29-a337-595f58e1fac2&campaign=Introduction+to+Family+Engagement+in+Education&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–4 hours per week,Starts Jul 24,172176,Self-paced,0,Education & Teacher Training
147,Computing in Python I: Fundamentals and Procedural Programming,The Georgia Institute of Technology,https://www.edx.org/learn/python/the-georgia-institute-of-technology-computing-in-python-i-fundamentals-and-procedural-programming?index=product&queryID=b4102116df6402b461007a6796b907a7&position=4&results_level=second-level-results&term=&objectID=course-e540320a-f125-4021-8f1c-9cbc84c96d87&campaign=Computing+in+Python+I%3A+Fundamentals+and+Procedural+Programming&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,9–10 hours per week,Starts Jul 24,251424,Self-paced,146,Computer Science
148,Mandarin Chinese Level 1,MandarinX,https://www.edx.org/learn/mandarin-chinese/mandarinx-mandarin-chinese-level-1?index=product&queryID=b4102116df6402b461007a6796b907a7&position=5&results_level=second-level-results&term=&objectID=course-4c354854-5235-4119-8dbf-8b2f6ac678af&campaign=Mandarin+Chinese+Level+1&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,4–10 hours per week,Starts Jul 24,109729,Self-paced,146,Language
149,Hardware and Operating Systems,IBM,https://www.edx.org/learn/operating-systems/ibm-hardware-and-operating-systems?index=product&queryID=b4102116df6402b461007a6796b907a7&position=6&results_level=second-level-results&term=&objectID=course-eb555371-21db-4e14-a44f-400bb572da10&campaign=Hardware+and+Operating+Systems&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,9–11 hours per week,Starts Jul 24,10613,Self-paced,38,Computer Science
150,Digital Marketing Analytics: Tools and Techniques,"The University of Maryland, College Park University System of Maryland",https://www.edx.org/learn/digital-marketing/the-university-of-maryland-college-park-digital-marketing-analytics-tools-and-techniques?index=product&queryID=b4102116df6402b461007a6796b907a7&position=7&results_level=second-level-results&term=&objectID=course-ead84fcd-48ed-42d4-95af-93f54851297f&campaign=Digital+Marketing+Analytics%3A+Tools+and+Techniques&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,3–5 hours per week,Starts Jul 24,37249,Self-paced,154,Business & Management
151,Visualizing Data with Python,IBM,https://www.edx.org/learn/data-visualization/ibm-visualizing-data-with-python?index=product&queryID=b4102116df6402b461007a6796b907a7&position=8&results_level=second-level-results&term=&objectID=course-7e2383ac-27ba-40e9-95bc-e86e61841211&campaign=Visualizing+Data+with+Python&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–4 hours per week,Starts Jul 24,69823,Self-paced,77,Data Analysis & Statistics
152,Introduction to Cloud Infrastructure Technologies,The Linux Foundation,https://www.edx.org/learn/cloud-computing/the-linux-foundation-introduction-to-cloud-infrastructure-technologies?index=product&queryID=b4102116df6402b461007a6796b907a7&position=9&results_level=second-level-results&term=&objectID=course-001b82e7-0fa7-4c31-839d-d8a71c9afc60&campaign=Introduction+to+Cloud+Infrastructure+Technologies&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,14 weeks,3–4 hours per week,Starts Jul 24,129852,Self-paced,146,Computer Science
