,course,provider,link,course_length,time_commitment,start_date,current_enrollment,pace,price,subject
23,"CS50's Introduction to
Artificial Intelligence
with Python",Harvard University,https://www.edx.org/learn/artificial-intelligence/harvard-university-cs50-s-introduction-to-artificial-intelligence-with-python?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=24&results_level=second-level-results&term=&objectID=course-3a31db71-de8f-45f1-ae65-11981ed9d680&campaign=CS50%27s+Introduction+to+Artificial+Intelligence+with+Python&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,10–30 hours per week,Starts Jul 27,1107886,Self-paced,£0,Computer Science
24,"Google Cloud
Computing
Foundations: Cloud…",Google Cloud,https://www.edx.org/learn/cloud-computing/google-cloud-google-cloud-computing-foundations-cloud-computing-fundamentals?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=1&results_level=second-level-results&term=&objectID=course-fcd082c5-7eb6-4b35-909f-20b5ac723d06&campaign=Google+Cloud+Computing+Foundations%3A+Cloud+Computing+Fundamentals&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,1 weeks,5–6 hours per week,Starts Jul 27,68867,Self-paced,£116,Computer Science
25,"CS50's Web
Programming with
Python and JavaScri…",Harvard University,https://www.edx.org/learn/web-development/harvard-university-cs50-s-web-programming-with-python-and-javascript?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=2&results_level=second-level-results&term=&objectID=course-8f8e5124-1dab-47e6-8fa6-3fbdc0738f0a&campaign=CS50%27s+Web+Programming+with+Python+and+JavaScript&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,12 weeks,6–9 hours per week,Starts Jul 27,1468167,Self-paced,£0,Computer Science
26,"Introduction to Data
Science with Python",Harvard University,https://www.edx.org/learn/data-science/harvard-university-introduction-to-data-science-with-python?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=3&results_level=second-level-results&term=&objectID=course-c2004e8e-3882-4927-a883-1c5f39a28865&campaign=Introduction+to+Data+Science+with+Python&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,3–4 hours per week,Starts Jul 27,153710,Self-paced,£232,Data Analysis & Statistics
27,"CS50's Introduction to
Cybersecurity",Harvard University,https://www.edx.org/learn/cybersecurity/harvard-university-cs50-s-introduction-to-cybersecurity?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=4&results_level=second-level-results&term=&objectID=course-88391405-e329-495d-bf72-5de13bbf1846&campaign=CS50%27s+Introduction+to+Cybersecurity&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–6 hours per week,Starts Jul 27,183720,Self-paced,£0,Computer Science
28,"Python Basics for
Data Science",IBM,https://www.edx.org/learn/python/ibm-python-basics-for-data-science?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=5&results_level=second-level-results&term=&objectID=course-381a0046-5d78-4790-8776-74620d59f48e&campaign=Python+Basics+for+Data+Science&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,4–10 hours per week,Starts Jul 27,791638,Self-paced,£77,Data Analysis & Statistics
29,"Building Personal
Resilience: Managing
Anxiety and Mental…",Harvard University,https://www.edx.org/learn/mental-health/harvard-university-building-personal-resilience-managing-anxiety-and-mental-health?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=6&results_level=second-level-results&term=&objectID=course-128aab52-0ffe-4dc4-8314-8a3f02d38fcb&campaign=Building+Personal+Resilience%3A+Managing+Anxiety+and+Mental+Health&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,1–2 hours per week,Starts Jul 27,92106,Self-paced,£170,Social Sciences
30,"Data Science:
Machine Learning",Harvard University,https://www.edx.org/learn/machine-learning/harvard-university-data-science-machine-learning?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=7&results_level=second-level-results&term=&objectID=course-7e5958e8-d709-41ab-8f8c-4339f7a733c9&campaign=Data+Science%3A+Machine+Learning&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,2–4 hours per week,Starts Jul 27,581457,Self-paced,£116,Data Analysis & Statistics
31,"Rhetoric: The Art of
Persuasive Writing
and Public Speaking",Harvard University,https://www.edx.org/learn/rhetoric/harvard-university-rhetoric-the-art-of-persuasive-writing-and-public-speaking?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=8&results_level=second-level-results&term=&objectID=course-941c1967-d0ee-49bc-b3c5-e6ccf4681f2a&campaign=Rhetoric%3A+The+Art+of+Persuasive+Writing+and+Public+Speaking&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,2–3 hours per week,Starts Jul 27,754768,Self-paced,£162,Humanities
32,"IELTS Academic Test
Preparation",The University of Queensland,https://www.edx.org/learn/test-prep/the-university-of-queensland-ielts-academic-test-preparation?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=9&results_level=second-level-results&term=&objectID=course-d61d7a1f-3333-4169-a786-92e2bf690c6f&campaign=IELTS+Academic+Test+Preparation&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,5–10 hours per week,Starts Jul 27,1639068,Self-paced,£170,Communication
