,course,provider,link,course_length,time_commitment,start_date,current_enrollment,pace,price,subject
530,"Effective
Management and
Communication",Indiana University,https://www.edx.org/learn/management/indiana-university-effective-management-and-communication?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=3&results_level=second-level-results&term=&objectID=course-8c589ca5-d90b-4ebd-a8e7-ad7967c561de&campaign=Effective+Management+and+Communication&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–3 hours per week,Starts Jul 27,0,Self-paced,£155,Business & Management
531,"Incorporating
Renewable Energy in
Electricity Grids",Imperial College London,https://www.edx.org/learn/renewable-energy/imperial-college-london-incorporating-renewable-energy-in-electricity-grids?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=4&results_level=second-level-results&term=&objectID=course-0869e94c-e342-4edf-b458-453edbb59c9a&campaign=Incorporating+Renewable+Energy+in+Electricity+Grids&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–5 hours per week,Starts Jul 27,20255,Self-paced,£46,Energy & Earth Sciences
532,"Computing in Python
IV: Objects &
Algorithms",The Georgia Institute of Tec…,https://www.edx.org/learn/python/the-georgia-institute-of-technology-computing-in-python-iv-objects-algorithms?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=5&results_level=second-level-results&term=&objectID=course-382aaed7-05e3-486d-9867-f890242eb648&campaign=Computing+in+Python+IV%3A+Objects+%26+Algorithms&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,9–10 hours per week,Starts Jul 27,46366,Self-paced,£147,Computer Science
533,"Community
Engagement:
Collaborating for Ch…",The University of Michigan,https://www.edx.org/learn/social-science/the-university-of-michigan-community-engagement-collaborating-for-change?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=6&results_level=second-level-results&term=&objectID=course-ef2b8f17-d409-457a-8502-0d2642873034&campaign=Community+Engagement%3A+Collaborating+for+Change&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–4 hours per week,Starts Jul 27,20678,Self-paced,£46,Social Sciences
534,"Genetics: Analysis
and Applications",Massachusetts Institute of…,https://www.edx.org/learn/genetics/massachusetts-institute-of-technology-genetics-analysis-and-applications?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=7&results_level=second-level-results&term=&objectID=course-0bf58e47-9454-4c30-a1a5-081ae6b795e0&campaign=Genetics%3A+Analysis+and+Applications&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,4–6 hours per week,Starts Jul 27,0,Self-paced,£77,Biology & Life Sciences
535,"Building ETL and Data
Pipelines with Bash,
Airflow and Kafka",IBM,https://www.edx.org/learn/data-engineering/ibm-building-etl-and-data-pipelines-with-bash-airflow-and-kafka?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=8&results_level=second-level-results&term=&objectID=course-ce1b8540-80da-492a-8c3a-20cc459d549c&campaign=Building+ETL+and+Data+Pipelines+with+Bash%2C+Airflow+and+Kafka&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–4 hours per week,Starts Jul 27,7936,Self-paced,£77,Computer Science
536,"A travel by Spanish
America: Spanish for
beginners",Universidad del Rosario,https://www.edx.org/learn/spanish/universidad-del-rosario-a-travel-by-spanish-america-spanish-for-beginners?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=9&results_level=second-level-results&term=&objectID=course-cbe977ab-e20f-4909-982f-715d81fc9d90&campaign=A+travel+by+Spanish+America%3A+Spanish+for+beginners&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–6 hours per week,Starts Jul 27,28745,Self-paced,£30,Language
537,"Financial
Development and
Financial Inclusion",The International Monetary…,https://www.edx.org/learn/financial-management/the-international-monetary-fund-financial-development-and-financial-inclusion?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=10&results_level=second-level-results&term=&objectID=course-f9c23be1-aba6-422d-a10e-b3c02331426d&campaign=Financial+Development+and+Financial+Inclusion&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,3–4 hours per week,Starts Jul 27,27373,Self-paced,£19,Economics & Finance
538,Computer Graphics,"The University of California,…",https://www.edx.org/learn/computer-graphics/the-university-of-california-san-diego-computer-graphics?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=11&results_level=second-level-results&term=&objectID=course-f6bc9b9c-e03f-4cde-b09d-bddd82dca299&campaign=Computer+Graphics&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,6–12 hours per week,Starts Jul 27,118798,Self-paced,£77,Computer Science
539,"An Introduction to
Web Development",Raspberry Pi Foundation,https://www.edx.org/learn/computer-programming/raspberry-pi-foundation-introduction-to-web-development?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=12&results_level=second-level-results&term=&objectID=course-5464bdbd-4816-49b8-9944-36137b36b1b3&campaign=An+Introduction+to+Web+Development&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,2–4 hours per week,Starts Jul 27,0,Self-paced,£46,Education & Teacher Training
540,"FlashDiet: Aprende a
comer sano",Universitat Politècnica de V…,https://www.edx.org/learn/nutrition/universitat-politecnica-de-valencia-flashdiet-aprende-a-comer-sano?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=13&results_level=second-level-results&term=&objectID=course-32c35077-2de2-47ac-923f-08126652b60f&campaign=FlashDiet%3A+Aprende+a+comer+sano&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–3 hours per week,Starts Jul 27,80570,Self-paced,£30,Food & Nutrition
541,"Molecular Biology -
Part 2: Transcription
and Transposition",Massachusetts Institute of…,https://www.edx.org/learn/molecular-biology/massachusetts-institute-of-technology-molecular-biology-part-2-transcription-and-transposition?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=14&results_level=second-level-results&term=&objectID=course-197f9db0-cc55-43fe-aac7-c5a951b0e3b4&campaign=Molecular+Biology+-+Part+2%3A+Transcription+and+Transposition&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,4–8 hours per week,Starts Jul 27,27842,Self-paced,£77,Biology & Life Sciences
542,"Preparación de
alimentos saludables",Universidades Anáhuac,https://www.edx.org/learn/nutrition/universidades-anahuac-preparacion-de-alimentos-saludables?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=15&results_level=second-level-results&term=&objectID=course-3e48861d-d41f-4293-aa50-271312472e89&campaign=Preparaci%C3%B3n+de+alimentos+saludables&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,3–5 hours per week,Starts Jul 27,0,Self-paced,£15,Food & Nutrition
543,"Data Structures
Fundamentals","The University of California,…",https://www.edx.org/learn/data-structures/the-university-of-california-san-diego-data-structures-fundamentals?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=16&results_level=second-level-results&term=&objectID=course-7b3e45ca-d79b-48e3-9b78-4e91f4209e3b&campaign=Data+Structures+Fundamentals&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,8–10 hours per week,Starts Jul 27,54213,Self-paced,£117,Computer Science
544,"Academia de
Empreendedorismo","Fundação para a Ciência e a
Tecnologia…",https://www.edx.org/learn/business-management/fundacao-para-a-ciencia-e-a-tecnologia-academia-de-empreendedorismo-2?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=17&results_level=second-level-results&term=&objectID=course-66caf8d7-9580-4e36-8fdc-d0d5e05fab3d&campaign=Academia+de+Empreendedorismo&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,4–6 hours per week,Starts Jul 27,0,Self-paced,£43,Business & Management
545,"Soft Skills: Present
with Purpose",IBM,https://www.edx.org/learn/business-communications/ibm-soft-skills-present-with-purpose?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=18&results_level=second-level-results&term=&objectID=course-bc562eec-3369-4f48-8c40-985d2d4b6d9b&campaign=Soft+Skills%3A+Present+with+Purpose&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,1 weeks,3–4 hours per week,Starts Jul 27,0,Self-paced,£23,Communication
546,"The Entrepreneurial
Mindset",Babson College,https://www.edx.org/learn/entrepreneurship/babson-college-the-entrepreneurial-mindset?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=19&results_level=second-level-results&term=&objectID=course-7f8c7223-f681-4c03-a7aa-e26c29d4f732&campaign=The+Entrepreneurial+Mindset&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,4–6 hours per week,Starts Jul 27,42558,Self-paced,£147,Business & Management
547,"Physics
Fundamentals:
Electromagnetics",Universitat Politècnica de V…,https://www.edx.org/learn/physics/universitat-politecnica-de-valencia-physics-fundamentals-electromagnetics?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=20&results_level=second-level-results&term=&objectID=course-c058f85e-f311-4c03-adb5-dc845cb7dfd4&campaign=Physics+Fundamentals%3A+Electromagnetics&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,4–5 hours per week,Starts Jul 27,0,Self-paced,£23,Physics
548,"Data Warehousing
and BI Analytics",IBM,https://www.edx.org/learn/data-warehouse/ibm-data-warehousing-and-bi-analytics?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=21&results_level=second-level-results&term=&objectID=course-66a78dfc-0ec0-4445-a01f-5596c1c886be&campaign=Data+Warehousing+and+BI+Analytics&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–3 hours per week,Starts Jul 27,5993,Self-paced,£77,Computer Science
549,"Power BI para los
negocios,
herramientas de pro…",Universitat Politècnica de V…,https://www.edx.org/learn/data-science/universitat-politecnica-de-valencia-power-bi-para-los-negocios-herramientas-de-productividad?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=22&results_level=second-level-results&term=&objectID=course-77738d89-2924-49fe-b920-d36a35f2fe03&campaign=Power+BI+para+los+negocios%2C+herramientas+de+productividad&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,4–5 hours per week,Starts Jul 27,10113,Self-paced,£30,Data Analysis & Statistics
550,"Líderes para la
gestión en seguridad
ciudadana y justicia",Inter-American Developmen…,https://www.edx.org/learn/justice/inter-american-development-bank-lideres-para-la-gestion-en-seguridad-ciudadana-y-justicia?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=23&results_level=second-level-results&term=&objectID=course-2beb80c9-785a-4c79-80f3-632588dca226&campaign=L%C3%ADderes+para+la+gesti%C3%B3n+en+seguridad+ciudadana+y+justicia&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,6–7 hours per week,Starts Jul 27,21009,Self-paced,£19,Social Sciences
551,"Introduction to
Node.js",The Linux Foundation,https://www.edx.org/learn/node-js/the-linux-foundation-introduction-to-node-js?index=product&queryID=5a9b048fb8d0353464a60b8f43c6e69c&position=24&results_level=second-level-results&term=&objectID=course-1ced7ebb-ab13-4988-97c7-9f943f30432c&campaign=Introduction+to+Node.js&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,1–2 hours per week,Starts Jul 27,21563,Self-paced,£147,Computer Science
552,"Business
Communication",Rochester Institute of Techn…,https://www.edx.org/learn/business-communications/rochester-institute-of-technology-business-communication-3?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=1&results_level=second-level-results&term=&objectID=course-ecca6ceb-d524-4897-9f0b-dae99b5c4257&campaign=Business+Communication&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,4–6 hours per week,Starts Jul 27,17070,Self-paced,£155,Communication
553,"Introduction to
Psychological
Aspects of Game De…",LCI Education,https://www.edx.org/learn/computer-science/lci-education-introduction-to-psychological-aspects-of-game-design?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=2&results_level=second-level-results&term=&objectID=course-3ff74304-8020-49ba-9dee-556d3ffde238&campaign=Introduction+to+Psychological+Aspects+of+Game+Design&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,4–8 hours per week,Starts Jul 27,0,Self-paced,£139,Computer Science
554,"Teaching & Learning
in the Diverse
Classroom",Cornell University,https://www.edx.org/learn/education/cornell-university-teaching-learning-in-the-diverse-classroom?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=3&results_level=second-level-results&term=&objectID=course-6db2bc23-7c72-42bc-88b2-de11bc0f806a&campaign=Teaching+%26+Learning+in+the+Diverse+Classroom&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–4 hours per week,Starts Jul 27,20843,Self-paced,£77,Education & Teacher Training
555,Maths Foundations,University of Adelaide,https://www.edx.org/learn/math/university-of-adelaide-maths-foundations?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=4&results_level=second-level-results&term=&objectID=course-ab50691f-5414-4a2d-97ed-413fac5dbdc1&campaign=Maths+Foundations&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,3–12 hours per week,Starts Jul 27,0,Self-paced,£77,Math
556,"Introduction to
Electrical and
Electronic Engineeri…",Tokyo Institute of Technology,https://www.edx.org/learn/electrical-engineering/tokyo-institute-of-technology-introduction-to-electrical-and-electronic-engineering-dian-qi-dian-zi-gong-xue-ru-men?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=5&results_level=second-level-results&term=&objectID=course-3b607bcc-08ed-432b-9d98-09946ce63e83&campaign=Introduction+to+Electrical+and+Electronic+Engineering+-+%E9%9B%BB%E6%B0%97%E9%9B%BB%E5%AD%90%E5%B7%A5%E5%AD%A6%E5%85%A5%E9%96%80+-&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–3 hours per week,Starts Jul 27,36217,Self-paced,£100,Engineering
557,"Becoming a
Successful Leader
(Inclusive Leadershi…",Catalyst,https://www.edx.org/learn/leadership/catalyst-becoming-a-successful-leader-inclusive-leadership-training?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=6&results_level=second-level-results&term=&objectID=course-279fc0f3-fba6-4a13-b538-d05844370430&campaign=Becoming+a+Successful+Leader+%28Inclusive+Leadership+Training%29&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,1–2 hours per week,Starts Jul 27,235046,Self-paced,£54,Communication
558,"New Product
Development",Indian Institute of Managem…,https://www.edx.org/learn/product-design/indian-institute-of-management-bangalore-new-product-development?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=7&results_level=second-level-results&term=&objectID=course-8b7520f3-f191-46f5-a1c9-0f0260bd3d02&campaign=New+Product+Development&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,3–5 hours per week,Starts Jul 27,16383,Self-paced,£147,Business & Management
559,"Python Data
Structures",The University of Michigan,https://www.edx.org/learn/python/the-university-of-michigan-python-data-structures?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=8&results_level=second-level-results&term=&objectID=course-fe0c8b35-8af3-4456-8bd1-029f50dbefe1&campaign=Python+Data+Structures&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,2–4 hours per week,Starts Jul 27,58358,Self-paced,£46,Computer Science
560,Células y tejidos,Universitat Politècnica de V…,https://www.edx.org/learn/cellular-biology/universitat-politecnica-de-valencia-celulas-y-tejidos?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=9&results_level=second-level-results&term=&objectID=course-7a849b09-4ddc-4a97-8259-c7326d1ad577&campaign=C%C3%A9lulas+y+tejidos&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,3–4 hours per week,Starts Jul 27,0,Self-paced,£38,Biology & Life Sciences
561,"Feeding a Hungry
Planet: Agriculture,
Nutrition and Sustai…",SDG Academy,https://www.edx.org/learn/sustainability/sdg-academy-feeding-a-hungry-planet-agriculture-nutrition-and-sustainability?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=10&results_level=second-level-results&term=&objectID=course-156c045f-5815-4038-bfd5-c0e044fe8c29&campaign=Feeding+a+Hungry+Planet%3A+Agriculture%2C+Nutrition+and+Sustainability&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,3–5 hours per week,Starts Jul 27,19644,Self-paced,£0,Environmental Studies
562,Network Security,Rochester Institute of Techn…,https://www.edx.org/learn/network-security/rochester-institute-of-technology-network-security?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=11&results_level=second-level-results&term=&objectID=course-9ff9b63d-f504-424c-978a-be0b6fab8e96&campaign=Network+Security&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,10–12 hours per week,Started Jul 8,69671,Instructor-paced,£310,Computer Science
563,"On-Ramp to AP®
French Language and
Culture",Weston High School,https://www.edx.org/learn/french/weston-high-school-on-ramp-to-ap-r-french-language-and-culture?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=12&results_level=second-level-results&term=&objectID=course-def739fa-9d7d-4f63-be61-feeaf5b6200c&campaign=On-Ramp+to+AP%C2%AE+French+Language+and+Culture&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,4–8 hours per week,Starts Jul 27,114451,Self-paced,£23,Humanities
564,"Lean Six Sigma
Program and Project
Management",International Supply Chain E…,https://www.edx.org/learn/six-sigma/international-supply-chain-education-alliance-lean-six-sigma-program-and-project-management?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=13&results_level=second-level-results&term=&objectID=course-47f9ae3e-864d-404f-b47e-c3b49ac1edc0&campaign=Lean+Six+Sigma+Program+and+Project+Management&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,2–4 hours per week,Starts Jul 27,0,Self-paced,£193,Business & Management
565,"Semiconductors for
Beginners",The National University of S…,https://www.edx.org/learn/semiconductors/the-national-university-of-singapore-semiconductors-for-beginners?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=14&results_level=second-level-results&term=&objectID=course-63fb076d-dd9a-4181-b446-98c47ab56ae2&campaign=Semiconductors+for+Beginners&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,2–3 hours per week,Starts Jul 27,5405,Self-paced,£108,Engineering
566,"El cerebro y las
emociones en el
lenguaje",Universidad del Rosario,https://www.edx.org/learn/language/universidad-del-rosario-el-cerebro-y-las-emociones-en-el-lenguaje?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=15&results_level=second-level-results&term=&objectID=course-dc96abfa-fb45-4ae0-8bfa-792589e74d0a&campaign=El+cerebro+y+las+emociones+en+el+lenguaje&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,4–5 hours per week,Starts Jul 27,63527,Self-paced,£38,Communication
567,"Unlocking the Power
of Generative AI with
ChatGPT for Higher…",Universidad Galileo,https://www.edx.org/learn/chatgpt/universidad-galileo-unlocking-the-power-of-generative-ai-with-chatgpt-for-higher-education?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=16&results_level=second-level-results&term=&objectID=course-1deb6cfe-2b02-4fcd-908b-7ada317d83db&campaign=Unlocking+the+Power+of+Generative+AI+with+ChatGPT+for+Higher+Education&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,4–5 hours per week,Starts Jul 27,0,Self-paced,£30,Education & Teacher Training
568,"C++ Programming:
Object-Oriented
Design",Codio,https://www.edx.org/learn/c-programming/codio-c-programming-object-oriented-design?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=17&results_level=second-level-results&term=&objectID=course-48d32551-4d57-465e-bc38-00107eedc5d9&campaign=C%2B%2B+Programming%3A+Object-Oriented+Design&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–3 hours per week,Starts Jul 27,0,Self-paced,£147,Computer Science
569,"An Introduction to
Pre-University
Mathematics",The London School of Econ…,https://www.edx.org/learn/math/the-london-school-of-economics-and-political-science-an-introduction-to-pre-university-mathematics?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=18&results_level=second-level-results&term=&objectID=course-47e58eaa-191b-465f-ace4-a5156d5ad8a7&campaign=An+Introduction+to+Pre-University+Mathematics&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,6–10 hours per week,Starts Jul 27,0,Self-paced,£155,Math
570,"Autism and Mental
Health",Curtin University,https://www.edx.org/learn/mental-health/curtin-university-autism-and-mental-health?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=19&results_level=second-level-results&term=&objectID=course-6e00b0f3-30d2-4905-b986-38c6964b19e7&campaign=Autism+and+Mental+Health&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,1–3 hours per week,Starts Jul 27,0,Self-paced,£77,Health & Safety
571,"Fundamentos de la
guitarra eléctrica y
acústica",Berklee College of Music,https://www.edx.org/learn/music-arts/berklee-college-of-music-fundamentos-de-la-guitarra-electrica-y-acustica?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=20&results_level=second-level-results&term=&objectID=course-9d0de55e-069c-4188-8dc6-1c0823eff480&campaign=Fundamentos+de+la+guitarra+el%C3%A9ctrica+y+ac%C3%BAstica&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–5 hours per week,Starts Jul 27,26708,Self-paced,£46,Music
572,"Introducción al Office
365",Universitat Politècnica de V…,https://www.edx.org/learn/computer-science/universitat-politecnica-de-valencia-introduccion-al-office-365?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=21&results_level=second-level-results&term=&objectID=course-001cdfd6-6b8e-44fe-b45d-f117d12dd4fc&campaign=Introducci%C3%B3n+al+Office+365&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,2–3 hours per week,Starts Jul 27,34549,Self-paced,£54,Computer Science
573,"Introduction to Open
Source Networking
Technologies",The Linux Foundation,https://www.edx.org/learn/computer-networking/the-linux-foundation-introduction-to-open-source-networking-technologies?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=22&results_level=second-level-results&term=&objectID=course-8e901136-3c8a-49c0-a3c2-48e9f5c31fd7&campaign=Introduction+to+Open+Source+Networking+Technologies&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,14 weeks,3–4 hours per week,Starts Jul 27,26299,Self-paced,£193,Computer Science
574,"Gerencia estratégica:
bases y principios",Pontificia Universidad Javer…,https://www.edx.org/learn/strategic-management/pontificia-universidad-javeriana-gerencia-estrategica-bases-y-principios?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=23&results_level=second-level-results&term=&objectID=course-899abbaf-0413-419d-a884-bdd76aecef1e&campaign=Gerencia+estrat%C3%A9gica%3A+bases+y+principios&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,6–7 hours per week,Starts Jul 27,7189,Self-paced,£35,Business & Management
575,"Fundamentos de
información
financiera y contable",Universidades Anáhuac,https://www.edx.org/learn/financial-accounting/universidades-anahuac-fundamentos-de-informacion-financiera-y-contable?index=product&queryID=6ff16592d1798c072c6b69b8223ea4d1&position=24&results_level=second-level-results&term=&objectID=course-6e599f57-f685-4676-a47a-86f16743e2a7&campaign=Fundamentos+de+informaci%C3%B3n+financiera+y+contable&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,5–7 hours per week,Starts Jul 27,17204,Self-paced,£30,Economics & Finance
576,"Python Fundamentals
for Business Analytics",Lehigh University,https://www.edx.org/learn/python/lehigh-university-python-fundamentals-for-business-analytics?index=product&queryID=696b1f01304353558f86cb858b22a844&position=1&results_level=second-level-results&term=&objectID=course-6ecf17c1-263a-4f54-840e-9aae41d66897&campaign=Python+Fundamentals+for+Business+Analytics&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–4 hours per week,Starts Jul 27,0,Self-paced,£139,Computer Science
577,"Mejora tu Negocio con
Inteligencia Artificial",Universidades Anáhuac,https://www.edx.org/learn/artificial-intelligence/universidades-anahuac-mejora-tu-negocio-con-inteligencia-artificial?index=product&queryID=696b1f01304353558f86cb858b22a844&position=2&results_level=second-level-results&term=&objectID=course-7c8fe4f6-562f-461c-8dff-8653bbbcdd2e&campaign=Mejora+tu+Negocio+con+Inteligencia+Artificial&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,6–8 hours per week,Starts Jul 27,0,Self-paced,£30,Business & Management
578,"Python Programming:
Object-Oriented
Design",Codio,https://www.edx.org/learn/python/codio-python-programming-object-oriented-design?index=product&queryID=696b1f01304353558f86cb858b22a844&position=3&results_level=second-level-results&term=&objectID=course-e3e0edd2-7e1b-4254-96a9-7c40034ce228&campaign=Python+Programming%3A+Object-Oriented+Design&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–3 hours per week,Starts Jul 27,0,Self-paced,£147,Computer Science
579,"Gestion de projets de
développement",Inter-American Developmen…,https://www.edx.org/learn/international-project-management/inter-american-development-bank-gestion-de-projets-de-developpement?index=product&queryID=696b1f01304353558f86cb858b22a844&position=4&results_level=second-level-results&term=&objectID=course-b96808bd-b863-4bcf-bf8d-9f026b2084f3&campaign=Gestion+de+projets+de+d%C3%A9veloppement&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,2–3 hours per week,Starts Jul 27,63145,Self-paced,£19,Business & Management
580,"Data Structures &
Algorithms II: Binary
Trees, Heaps, SkipLi…",The Georgia Institute of Tec…,https://www.edx.org/learn/data-structures/the-georgia-institute-of-technology-data-structures-algorithms-ii-binary-trees-heaps-skiplists-and-hashmaps?index=product&queryID=696b1f01304353558f86cb858b22a844&position=5&results_level=second-level-results&term=&objectID=course-6a5f3546-a974-4bcf-adf7-d9acb31c81b9&campaign=Data+Structures+%26+Algorithms+II%3A+Binary+Trees%2C+Heaps%2C+SkipLists+and+HashMaps&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,9–10 hours per week,Starts Jul 27,8183,Self-paced,£147,Computer Science
581,"Introduction to
Encryption and
Cryptography",Raspberry Pi Foundation,https://www.edx.org/learn/computer-programming/raspberry-pi-foundation-introduction-to-encryption-and-cryptography?index=product&queryID=696b1f01304353558f86cb858b22a844&position=6&results_level=second-level-results&term=&objectID=course-2bb28080-bf1e-43d4-b937-2a7ac77b77d7&campaign=Introduction+to+Encryption+and+Cryptography&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,2 weeks,2–4 hours per week,Starts Jul 27,0,Self-paced,£46,Education & Teacher Training
